,property_id,location_id,page_url,property_type,price,price_in_lac,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Total_Area
18385,12509757,329,https://www.zameen.com/Property/islamabad_e_11_e_11_1_kanal_house_for_sale-12509757-329-1.html,House,63000000,630,E-11,Islamabad,Islamabad Capital,33.698135,72.97822,6,For Sale,6,10/7/2018,,,5445
18388,12510675,453,https://www.zameen.com/Property/islamabad_gulshan_e_khudadad_5_marla_triple_storey_brand_new_house_for_sale-12510675-453-1.html,House,11500000,115,Gulshan-e-Khudadad,Islamabad,Islamabad Capital,33.626837,72.98273,7,For Sale,5,10/7/2018,,,15246.056
18647,12510897,3386,https://www.zameen.com/Property/g_9_g_9_3_g_9_3_house_is_available_for_sale-12510897-3386-1.html,House,21000000,210,G-9,Islamabad,Islamabad Capital,33.694138,73.036201,3,For Sale,4,3/6/2019,Hasnain Property,Inam-ul-Haq,1633.506
18649,12519246,10799,https://www.zameen.com/Property/e_11_ace_arcade_e_11_main_double_road_house_for_sale-12519246-10799-1.html,House,75000000,750,E-11,Islamabad,Islamabad Capital,33.69691,72.969198,7,For Sale,6,10/7/2018,,,5445
18650,12519712,3387,https://www.zameen.com/Property/g_9_g_9_4_30x50_house_for_sale-12519712-3387-1.html,House,28000000,280,G-9,Islamabad,Islamabad Capital,33.686496,73.039076,5,For Sale,6,10/7/2018,,,18240.817
18651,12520578,616,https://www.zameen.com/Property/islamabad_b_17_house_is_available_for_sale-12520578-616-1.html,House,13500000,135,B-17,Islamabad,Islamabad Capital,33.68064,72.822189,6,For Sale,5,6/20/2019,4M Enterprises,company helpline number,2178.008
18652,12521521,3201,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_f_house_is_available_for_sale-12521521-3201-1.html,House,42500000,425,DHA Defence,Islamabad,Islamabad Capital,33.524224,73.161049,5,For Sale,5,5/5/2019,Heral Properties Real Estate Consultant,Col. Munawar,5445
18653,12521536,3190,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_b_corner_house_is_available_for_sale-12521536-3190-1.html,House,42500000,425,DHA Defence,Islamabad,Islamabad Capital,33.542039,73.093414,5,For Sale,5,6/6/2019,Heral Properties Real Estate Consultant,Col. Munawar,5445
18654,12522189,3340,https://www.zameen.com/Property/g_13_g_13_4_home_for_sale-12522189-3340-1.html,House,33000000,330,G-13,Islamabad,Islamabad Capital,33.649315,72.968395,4,For Sale,6,10/7/2018,,,2722.51
18655,12527430,3461,https://www.zameen.com/Property/islamabad_lehtarar_road_4_marla_house_for_sale-12527430-3461-1.html,House,4000000,40,Lehtarar Road,Islamabad,Islamabad Capital,33.639311,73.148646,2,For Sale,3,10/7/2018,,,1089.004
18656,12528049,383,https://www.zameen.com/Property/islamabad_bahria_town_amazing_45_marla_house_for_sale_in_bahria_town-12528049-383-1.html,House,65000000,650,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,8,For Sale,6,6/28/2019,Aim Real Estate,Abdul Rehman,119790
18659,12528898,3111,https://www.zameen.com/Property/islamabad_ali_pur_4_marla_house_is_available_for_sale-12528898-3111-1.html,House,4250000,42.5,Ali Pur,Islamabad,Islamabad Capital,33.644278,73.173237,2,For Sale,2,10/7/2018,,,1089.004
18661,12529386,1407,https://www.zameen.com/Property/islamabad_burma_town_4_marla_house_is_available_for_sale-12529386-1407-1.html,House,3400000,34,Burma Town,Islamabad,Islamabad Capital,33.643635,73.125243,2,For Sale,3,10/7/2018,,,1089.004
18662,12530037,3498,https://www.zameen.com/Property/soan_garden_soan_garden_block_h_10_marla_beautiful_house_for_sale_ideal_location-12530037-3498-1.html,House,10500000,105,Soan Garden,Islamabad,Islamabad Capital,33.554271,73.155599,4,For Sale,4,10/7/2018,,,2722.51
18955,12531136,9150,https://www.zameen.com/Property/margalla_town_margalla_town_phase_1_house_for_sale_in_margalla_town_phase_1-12531136-9150-1.html,House,30000000,300,Margalla Town,Islamabad,Islamabad Capital,33.672515,73.106276,5,For Sale,6,10/7/2018,,,2178.008
18957,12537231,156,https://www.zameen.com/Property/islamabad_bhara_kahu_beautiful_house_is_available_for_sale_in_bhara_kahu_islamabad-12537231-156-1.html,House,14500000,145,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,6,For Sale,6,5/5/2019,IPS Pvt (Ltd),Syed Saqib Abbas,2722.51
